payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70920883,20.31,0.3,ONLINE,PAID
70921044,15,0.23,ONLINE,PAID
70921104,9.9,0.2,ONLINE,PAID
70921107,84.8,2.29,ONLINE,PAID
70921139,139.2,3.76,ONLINE,PAID
70921168,195.3,5.27,ONLINE,PAID
70921297,61.8,1.67,ONLINE,PAID
70921307,78.1,1.17,ONLINE,PAID
70921352,13.9,0,MEAL_BENEFIT,PAID
70921515,81.9,1.23,ONLINE,PAID
70921557,82.9,1.24,ONLINE,PAID
70921799,22.9,0.34,ONLINE,PAID
70921858,62.1,0.87,DEBIT,PAID
70921859,36.4,0.73,ONLINE,PAID
70921911,33.9,0,MEAL_BENEFIT,PAID
70921919,292.12,4.38,ONLINE,PAID
70921921,73.7,0,MEAL_BENEFIT,PAID
70921993,26.9,0.4,ONLINE,PAID
70922045,59.19,0,MEAL_BENEFIT,PAID
70922234,105,1.58,ONLINE,PAID
70922373,47,0,ONLINE,PAID
70922423,34.88,0.52,ONLINE,PAID
70922804,41.49,0.83,DEBIT,PAID
70922864,25.65,0,MEAL_BENEFIT,PAID
70923039,41.8,0,MEAL_BENEFIT,PAID
70923062,47.8,0,ONLINE,PAID
70923074,25.88,0.39,ONLINE,PAID
70923216,91.11,1.37,ONLINE,PAID
70923270,422.49,8.45,ONLINE,PAID
70923271,29.8,0.45,ONLINE,PAID
70923313,211.1,5.7,ONLINE,PAID
70923620,76.8,1.15,ONLINE,PAID
70923689,69.9,1.05,ONLINE,PAID
70923701,809.9,16.2,ONLINE,PAID
70923705,599.9,12,ONLINE,PAID
70923824,138.3,3.73,ONLINE,PAID
70923893,241.1,4.82,DEBIT,PAID
70924156,39,0.59,ONLINE,PAID
70924221,27.7,0.42,ONLINE,PAID
70924295,15,0,VOUCHER,PAID
70924336,35.8,0.54,ONLINE,PAID
70924337,33.9,0.51,ONLINE,PAID
70924370,48.5,0.68,ONLINE,PAID
70924373,11,0.17,ONLINE,PAID
70924509,93.9,1.27,DEBIT,PAID
70924629,22.05,0.33,ONLINE,PAID
70924801,30,0.41,DEBIT,PAID
70924935,24.1,0.36,ONLINE,PAID
70924989,28.8,0.43,ONLINE,PAID
70925227,23.9,0,MEAL_BENEFIT,PAID
70925236,108.7,2.93,ONLINE,PAID
70925242,38,0.57,ONLINE,PAID
70925258,35.9,0,ONLINE,PAID
70925389,11.5,0.17,ONLINE,PAID
70925398,103.8,1.35,ONLINE,PAID
70925484,88.8,1.78,ONLINE,PAID
70925578,75.9,1.14,ONLINE,PAID
70925937,62.3,1.68,ONLINE,PAID
70925980,39.79,0.6,ONLINE,PAID
70925982,21.8,0.33,ONLINE,PAID
70926014,207.24,3.11,ONLINE,PAID
70926046,286.89,5.74,INSTALLMENT_CREDIT_STORE,PAID
70926052,34.49,0.52,ONLINE,PAID
70926055,34.4,0.52,DEBIT,PAID
70926117,110.7,1.55,CREDIT,PAID
70926125,96.4,0,MEAL_BENEFIT,PAID
70926129,80.8,0,ONLINE,PAID
70926228,44.8,0.67,ONLINE,PAID
70926474,63.99,1.28,STORE_DIRECT_PAYMENT,PAID
70926604,44.3,0.62,DEBIT,PAID
70926636,57.9,0.87,CREDIT,PAID
70926664,96.8,1.45,ONLINE,PAID
70926668,103.9,2.81,ONLINE,PAID
70926697,106.8,2.88,ONLINE,PAID
70926699,289.98,5.8,CREDIT_STORE,PAID
70926700,51.8,1.4,ONLINE,PAID
70926704,37.7,0.57,ONLINE,PAID
70926722,129.9,2.6,STORE_DIRECT_PAYMENT,PAID
70926740,84.5,1.18,CREDIT,PAID
70926754,39.8,0.52,ONLINE,PAID
70926817,56.7,0.85,ONLINE,PAID
70926843,90.85,1.36,ONLINE,PAID
70926894,39.54,0.79,ONLINE,PAID
70926931,65.9,0.99,ONLINE,PAID
70927027,26.9,0.4,ONLINE,PAID
70927028,22,0.33,ONLINE,PAID
70927029,44.5,0.62,ONLINE,PAID
70927039,53.7,1.45,ONLINE,PAID
70927112,72.3,0.94,ONLINE,PAID
70927126,81.8,2.21,ONLINE,PAID
70927215,147.1,3.97,ONLINE,PAID
70927327,57.6,0.86,ONLINE,PAID
70927337,78.65,2.12,ONLINE,PAID
70927383,33.88,0.51,CREDIT,PAID
70927397,45.8,0.64,DEBIT,PAID
70927419,6.9,0.1,ONLINE,PAID
70927442,31.4,0.44,ONLINE,PAID
70927614,22,0.33,ONLINE,PAID
70927709,72.9,1.09,ONLINE,PAID
